,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,09:15:06,23362.0,,,,,,,,,,,,,,,,,,,,,,,
1,09:15:06,23368.0,"('Neon_Green', 7, 23368.0)",,,,,,,,,,,,,,,,,,,,,,
2,09:15:08,23387.0,"('Brown', 1)","('Sky_Blue', 25, 23387.0)",,,,,,,,,,,,,,,,,,,,,
3,09:15:09,23361.0,"('Off_White', 1, 23361.0)","('Bluish_Green', 1)","('Red', 6)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
4,09:15:11,23365.0,"('Off_White', 1)","('Bluish_Green', 1)","('Red', 5, 23365.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,
5,09:15:12,23357.0,"('Teal', 5, 23357.0)","('Bluish_Green', 1)","('Red', 5)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,
6,09:15:14,23340.0,"('Sky_Blue', 17, 23340.0)","('Red', 11)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
7,09:15:16,23342.0,"('Sky_Blue', 17, 23342.0)","('Red', 11)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
8,09:15:17,23340.0,"('Red', 28, 23340.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
9,09:15:19,23348.0,"('Red', 28, 23348.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
10,09:15:21,23341.0,"('Red', 28, 23341.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
11,09:15:22,23350.0,"('Red', 28, 23350.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
12,09:15:24,23356.0,"('Red', 28, 23356.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
13,09:15:25,23356.0,"('Red', 28, 23356.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
14,09:15:27,23351.0,"('Red', 28, 23351.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
15,09:15:29,23362.0,"('Red', 28, 23362.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,,
16,09:15:30,23352.0,"('Blue', 1)","('Red', 27, 23352.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
17,09:15:32,23356.0,"('Blue', 1)","('Red', 27, 23356.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
18,09:15:34,23360.0,"('Blue', 1)","('Red', 27, 23360.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
19,09:15:35,23364.0,"('Blue', 2)","('Red', 26, 23364.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
20,09:15:37,23365.0,"('Blue', 2)","('Red', 26, 23365.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
21,09:15:38,23365.0,"('Blue', 1)","('Red', 27, 23365.0)","('Orange', 1)","('Sky_Blue', 19)",,,,,,,,,,,,,,,,,,,
22,09:15:40,23373.0,"('Blue', 2)","('Red', 32, 23373.0)","('Sky_Blue', 14)",,,,,,,,,,,,,,,,,,,,
23,09:15:42,23370.0,"('Blue', 2)","('Red', 32, 23370.0)","('Sky_Blue', 14)",,,,,,,,,,,,,,,,,,,,
24,09:15:43,23373.0,"('Blue', 2)","('Red', 32, 23373.0)","('Sky_Blue', 14)",,,,,,,,,,,,,,,,,,,,
25,09:15:45,23380.0,"('Blue', 2)","('Red', 39, 23380.0)","('Sky_Blue', 7)",,,,,,,,,,,,,,,,,,,,
26,09:15:46,23385.0,"('Blue', 2)","('Red', 44, 23385.0)","('Sky_Blue', 2)",,,,,,,,,,,,,,,,,,,,
27,09:15:48,23390.0,"('Blue', 2)","('Red', 46)",,,,,,,,,,,,,,,,,,,,,
28,09:15:50,23388.0,"('Blue', 2)","('Red', 46)",,,,,,,,,,,,,,,,,,,,,
29,09:15:51,23388.0,"('Blue', 2)","('Red', 45)","('Orange', 1)","('Gray', 1, 23388.0)",,,,,,,,,,,,,,,,,,,
30,09:15:53,23372.0,"('Blue', 2)","('Red', 45, 23372.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
31,09:15:54,23366.0,"('Blue', 2)","('Red', 45, 23366.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
32,09:15:56,23372.0,"('Blue', 2)","('Red', 45, 23372.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
33,09:15:58,23359.0,"('Blue', 2)","('Red', 45, 23359.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
34,09:15:59,23360.0,"('Blue', 2)","('Red', 45, 23360.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
35,09:16:01,23356.0,"('Blue', 2)","('Red', 45, 23356.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
36,09:16:03,23350.0,"('Blue', 2)","('Red', 45, 23350.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
37,09:16:04,23349.0,"('Blue', 2)","('Red', 45, 23349.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
38,09:16:06,23340.0,"('Blue', 2, 23340.0)","('Red', 45)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
39,09:16:08,23340.0,"('Blue', 6, 23340.0)","('Red', 42)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
40,09:16:09,23331.0,"('Off_White', 3, 23331.0)","('Teal', 6)","('Red', 48)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
41,09:16:11,23326.0,"('Teal', 14, 23326.0)","('Red', 48)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
42,09:16:12,23324.0,"('Teal', 16, 23324.0)","('Red', 48)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
43,09:16:14,23310.0,"('Sky_Blue', 14, 23310.0)","('Red', 64)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
44,09:16:16,23309.0,"('Teal', 1, 23309.0)","('Red', 78)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
45,09:16:17,23306.0,"('Teal', 4, 23306.0)","('Red', 78)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
46,09:16:19,23301.0,"('Sky_Blue', 5, 23301.0)","('Red', 82)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
47,09:16:21,23300.0,"('Teal', 1, 23300.0)","('Red', 87)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
48,09:16:22,23301.0,"('Teal', 1)","('Red', 87, 23301.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
49,09:16:24,23300.0,"('Red', 88, 23300.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
50,09:16:25,23305.0,"('Red', 88, 23305.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
51,09:16:27,23303.0,"('Red', 88, 23303.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
52,09:16:29,23300.0,"('Red', 88, 23300.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
53,09:16:30,23301.0,"('Red', 88, 23301.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
54,09:16:32,23300.0,"('Red', 88, 23300.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
55,09:16:34,23300.0,"('Red', 88, 23300.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
56,09:16:35,23310.0,"('Red', 88, 23310.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
57,09:16:37,23310.0,"('Red', 88, 23310.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
58,09:16:38,23310.0,"('Red', 88, 23310.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
59,09:16:40,23315.0,"('Red', 88, 23315.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
60,09:16:42,23315.0,"('Red', 88, 23315.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
61,09:16:43,23316.0,"('Red', 88, 23316.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
62,09:16:45,23310.0,"('Red', 88, 23310.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
63,09:16:47,23315.0,"('Red', 88, 23315.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
64,09:16:48,23316.0,"('Red', 88, 23316.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
65,09:16:50,23313.0,"('Red', 88, 23313.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
66,09:16:52,23318.0,"('Red', 88, 23318.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
67,09:16:53,23314.0,"('Red', 88, 23314.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
68,09:16:55,23314.0,"('Red', 88, 23314.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
69,09:16:57,23314.0,"('Red', 88, 23314.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
70,09:16:58,23320.0,"('Red', 88, 23320.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
71,09:17:00,23323.0,"('Red', 88, 23323.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
72,09:17:02,23324.0,"('Red', 88, 23324.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
73,09:17:03,23323.0,"('Red', 88, 23323.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
74,09:17:05,23320.0,"('Red', 88, 23320.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
75,09:17:06,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
76,09:17:08,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
77,09:17:10,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
78,09:17:11,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
79,09:17:13,23320.0,"('Red', 88, 23320.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
80,09:17:14,23329.0,"('Red', 88, 23329.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
