,buy-vol,ltp
0,0,7486.0
1,0,7486.0
2,13437,7500.0
3,12486,7485.0
4,6039,7489.0
5,0,7502.0
6,0,7498.0
7,4088,7502.0
8,7011,7515.0
9,1277,7511.0
10,1263,7519.0
11,3419,7525.0
12,0,7534.0
13,0,7537.0
14,0,7533.0
15,4630,7530.0
16,0,7531.0
17,0,7529.0
18,0,7533.0
19,0,7531.0
20,942,7531.0
21,1120,7531.0
22,0,7531.0
23,344,7528.0
24,0,7533.0
25,407,7525.0
26,700,7526.0
27,0,7529.0
28,0,7528.0
29,0,7526.0
30,0,7528.0
31,160,7526.0
32,1501,7526.0
33,0,7530.0
34,0,7529.0
35,0,7530.0
36,0,7530.0
37,3165,7529.0
38,506,7529.0
39,0,7536.0
40,861,7532.0
41,975,7531.0
42,764,7535.0
43,0,7536.0
44,586,7529.0
45,621,7529.0
46,385,7531.0
47,0,7529.0
48,0,7530.0
49,0,7531.0
50,0,7534.0
51,1233,7533.0
52,0,7544.0
53,0,7544.0
54,0,7543.0
55,0,7543.0
56,0,7542.0
57,0,7544.0
58,275,7539.0
59,0,7546.0
60,661,7539.0
61,0,7543.0
62,0,7540.0
63,515,7537.0
64,0,7543.0
65,0,7544.0
66,404,7540.0
67,1330,7537.0
68,0,7540.0
69,0,7540.0
70,428,7537.0
71,626,7538.0
72,0,7543.0
73,151,7540.0
74,0,7542.0
75,0,7543.0
76,0,7543.0
77,1783,7543.0
78,0,7545.0
79,427,7541.0
80,0,7543.0
81,659,7543.0
82,0,7544.0
83,1988,7545.0
84,1710,7546.0
85,0,7549.0
86,0,7550.0
87,495,7550.0
88,577,7549.0
89,86,7551.0
90,0,7551.0
91,1106,7552.0
92,794,7552.0
93,2373,7550.0
94,0,7547.0
95,218,7543.0
96,338,7546.0
97,0,7542.0
98,1304,7539.0
99,222,7538.0
100,0,7540.0
101,631,7535.0
102,479,7544.0
103,221,7541.0
104,428,7541.0
105,0,7542.0
106,545,7540.0
107,475,7533.0
108,166,7534.0
109,0,7540.0
110,0,7538.0
111,133,7535.0
112,0,7537.0
113,0,7538.0
114,0,7539.0
115,76,7536.0
116,0,7544.0
117,0,7538.0
118,0,7536.0
119,317,7535.0
120,355,7535.0
121,501,7536.0
122,0,7538.0
123,334,7537.0
124,104,7538.0
125,205,7535.0
126,0,7538.0
127,0,7538.0
128,1954,7538.0
129,485,7539.0
130,0,7539.0
131,100,7537.0
132,0,7541.0
133,0,7538.0
134,0,7540.0
135,0,7542.0
136,234,7539.0
137,0,7541.0
138,0,7539.0
139,0,7529.0
140,3857,7505.0
141,758,7507.0
142,1626,7502.0
143,804,7503.0
144,737,7502.0
145,0,7506.0
146,2480,7502.0
147,0,7507.0
148,0,7508.0
149,0,7507.0
150,145,7504.0
151,883,7507.0
152,1062,7514.0
153,765,7509.0
154,0,7514.0
155,718,7511.0
156,161,7511.0
157,0,7516.0
158,0,7514.0
159,0,7514.0
160,624,7511.0
161,40,7511.0
162,0,7509.0
163,0,7510.0
164,0,7510.0
165,0,7512.0
166,0,7510.0
167,0,7510.0
168,0,7511.0
169,280,7505.0
170,0,7509.0
171,0,7510.0
172,0,7508.0
173,0,7509.0
174,0,7509.0
175,0,7509.0
176,1000,7502.0
177,106,7507.0
178,0,7508.0
179,0,7507.0
180,1288,7504.0
181,0,7508.0
182,412,7504.0
183,1149,7500.0
184,0,7500.0
185,513,7494.0
186,0,7496.0
187,264,7493.0
188,0,7494.0
189,0,7500.0
190,0,7503.0
191,0,7500.0
192,0,7498.0
193,0,7495.0
194,0,7496.0
195,0,7496.0
196,0,7495.0
197,146,7493.0
198,0,7498.0
199,0,7492.0
200,0,7491.0
201,0,7493.0
202,189,7488.0
203,248,7489.0
204,146,7491.0
205,122,7491.0
206,31,7491.0
207,179,7491.0
208,0,7493.0
209,323,7490.0
210,0,7490.0
211,793,7485.0
212,0,7490.0
213,0,7489.0
214,0,7488.0
215,317,7482.0
216,467,7481.0
217,489,7483.0
218,549,7487.0
219,721,7489.0
220,919,7490.0
221,0,7494.0
222,1379,7496.0
223,79,7492.0
224,0,7498.0
225,0,7497.0
226,948,7495.0
227,0,7494.0
228,0,7496.0
229,0,7495.0
230,0,7498.0
231,604,7493.0
232,761,7501.0
233,177,7501.0
234,0,7505.0
235,0,7507.0
236,0,7508.0
237,195,7504.0
238,28,7503.0
239,0,7511.0
240,0,7512.0
241,1336,7512.0
242,0,7516.0
243,0,7514.0
244,0,7516.0
245,462,7518.0
246,256,7517.0
247,0,7523.0
248,89,7519.0
249,0,7523.0
250,0,7522.0
251,0,7521.0
252,0,7523.0
253,0,7525.0
254,172,7517.0
255,0,7527.0
256,285,7525.0
257,83,7522.0
258,914,7521.0
259,91,7523.0
260,0,7525.0
261,0,7527.0
262,0,7524.0
263,0,7523.0
264,0,7524.0
265,304,7521.0
266,0,7526.0
267,0,7524.0
268,0,7522.0
269,0,7522.0
270,140,7520.0
271,90,7520.0
272,105,7520.0
273,0,7522.0
274,30,7520.0
275,0,7521.0
276,0,7522.0
277,0,7522.0
278,493,7520.0
279,0,7522.0
280,0,7522.0
281,599,7518.0
282,0,7522.0
283,450,7520.0
284,25,7519.0
285,0,7523.0
286,202,7519.0
287,288,7520.0
288,0,7527.0
289,64,7525.0
290,152,7525.0
291,375,7525.0
292,1597,7525.0
293,0,7527.0
294,0,7528.0
295,0,7529.0
296,0,7528.0
297,616,7526.0
298,0,7528.0
299,0,7528.0
300,0,7529.0
301,0,7529.0
302,153,7526.0
303,0,7528.0
304,0,7527.0
305,0,7528.0
306,154,7525.0
307,0,7528.0
308,0,7528.0
309,0,7529.0
310,0,7527.0
311,189,7525.0
312,0,7528.0
313,0,7528.0
314,0,7528.0
315,0,7528.0
316,58,7526.0
317,0,7528.0
318,137,7526.0
319,249,7527.0
320,22,7527.0
321,116,7527.0
322,813,7527.0
323,0,7532.0
324,197,7529.0
325,0,7532.0
326,744,7528.0
327,0,7534.0
328,124,7530.0
329,95,7535.0
330,0,7535.0
331,468,7534.0
332,602,7534.0
333,243,7534.0
334,226,7534.0
335,0,7537.0
336,85,7533.0
337,150,7534.0
338,538,7535.0
339,233,7535.0
340,18,7534.0
341,1400,7536.0
342,197,7536.0
343,311,7535.0
344,10,7535.0
345,0,7539.0
346,62,7535.0
347,99,7535.0
348,207,7535.0
349,52,7535.0
350,0,7539.0
351,1224,7540.0
352,0,7545.0
353,107,7542.0
354,281,7542.0
355,0,7548.0
356,0,7548.0
357,1753,7545.0
358,5280,7547.0
359,176,7549.0
360,0,7545.0
361,0,7545.0
362,0,7547.0
363,0,7548.0
364,573,7541.0
365,700,7537.0
366,0,7532.0
367,0,7533.0
368,190,7530.0
369,0,7535.0
370,0,7536.0
371,1201,7536.0
372,0,7541.0
373,0,7544.0
374,0,7543.0
375,0,7545.0
376,0,7545.0
377,0,7546.0
378,105,7543.0
379,0,7545.0
380,106,7540.0
381,0,7544.0
382,0,7543.0
383,0,7543.0
384,0,7544.0
385,0,7544.0
386,59,7541.0
387,6234,7545.0
388,0,7548.0
389,70,7545.0
390,405,7545.0
391,32,7545.0
392,0,7547.0
393,0,7546.0
394,164,7544.0
395,0,7548.0
396,91,7543.0
397,1329,7537.0
398,0,7543.0
399,0,7543.0
400,396,7540.0
401,0,7542.0
